export
date;tavg;prcp
2024-12-04;9.2;1.1
2024-12-05;9.6;0.1
2024-12-06;10.4;0
2024-12-07;13.9;0
2024-12-08;13.6;3.1
2024-12-09;15;4.4
2024-12-10;14.7;
2024-12-11;10;
2024-12-12;8.4;
2024-12-13;6.6;
2024-12-14;6.3;0
2024-12-15;8.2;20.2
2024-12-16;7.5;0.5
2024-12-17;8.9;0
2024-12-18;10.3;0
2024-12-19;9.2;0
2024-12-20;11.6;0
2024-12-21;11.8;6.3
2024-12-22;6.9;7.8
2024-12-23;9;0
2024-12-24;11.6;5.4
2024-12-25;12.1;0.6
2024-12-26;11.1;4.8
2024-12-27;6.5;4.2
2024-12-28;6.2;1.6
2024-12-29;6.9;2.8
2024-12-30;6.7;0
2024-12-31;7.3;0
2025-01-01;6.6;0
2025-01-02;8.8;0
2025-01-03;11.7;0
2025-01-04;9.3;27.9
2025-01-05;7.1;0.2
2025-01-06;7.3;0
2025-01-07;12;0
2025-01-08;13.9;0
2025-01-09;11.9;0
2025-01-10;10.8;0
